nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
NARBONNE MIROUSE;232;18;oui;2008;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);64;3105556196;Toulouse;31555;1575308.8803;2264379.0838;1.45634916182147;43.5692062093953
METRO RANGUEIL;166;20;oui;2008;RUE EMILE GUYOU;GUYOU (RUE EMILE GUYOU);00;3105552978;Toulouse;31555;1575808.4458;2264922.2226;1.46240924557147;43.5741765862335
RANGUEIL TRIPODE B;230;20;oui;2008;AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);141;3105557268;Toulouse;31555;1576228.6635;2264156.4726;1.46778361535558;43.5673543907591
ALBI AVRANCHES;169;18;oui;2008;RTE D ALBI;ALBI (RTE D ALBI);78;3105550124;Toulouse;31555;1575987.4064;2271421.2784;1.46315260711255;43.6326930124648
CROIX DAURADE BIBLIOTHEQUE;170;17;oui;2008;CHE DE NICOL;NICOL (CHE DE NICOL);164;3105556262;Toulouse;31555;1576083.193;2271740.8216;1.46426701173367;43.6355844115324
LOUIN RAYNAL;234;17;oui;2008;RUE PIERRETTE LOUIN;LOUIN (RUE PIERRETTE LOUIN);4;3105556921;Toulouse;31555;1575037.575;2270928.2948;1.45149691297202;43.6280995726557
METRO LA VACHE;235;20;oui;2008;RUE PAUL VERLAINE;VERLAINE (RUE PAUL VERLAINE);8;3105556656;Toulouse;31555;1573754.6248;2271551.0174;1.4354588784155;43.6334896216766
TOEC ABBE LEMIRE;236;20;oui;2008;RUE DE L ABBE JULES LEMIRE;LEMIRE (RUE DE L ABBE JULES LEMIRE);1;3105554821;Toulouse;31555;1571120.4443;2267580.6014;1.40375645140907;43.5973131473342
BUTTE HERBETTES;238;17;oui;2008;CHE DE LA BUTTE;BUTTE (CHE DE LA BUTTE);50;3105551468;Toulouse;31555;1576680.8537;2265479.7268;1.47308252565461;43.5793370008923
LESPINET HERBETTES;239;18;oui;2008;AV DE LESPINET;LESPINET (AV DE LESPINET);127;3105555196;Toulouse;31555;1576386.5058;2265222.9032;1.46949669040651;43.5769775349279
